min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,,0.0,100.0,241,0.0,0
0.9,0.95,,0.0,100.0,241,0.0,0
0.85,0.9,,0.0,100.0,241,0.0,0
0.8,0.85,0.21052631578947367,0.10666666666666666,97.9253112033195,236,0.0,0
0.75,0.8,0.13817330210772838,0.09948717948717949,88.38174273858921,213,0.0,0
0.7,0.75,0.05815870025900638,0.12489323369730372,38.589211618257266,93,0.0,0
0.65,0.7,0.022639897479709625,0.07999484972225288,2.0746887966804977,5,0.0,0
0.6,0.65,-0.0869565217391306,0.0,0.0,0,0.0,0
0.55,0.6,,0.0,0.0,0,0.0,0
0.5,0.55,,0.0,0.0,0,0.0,0
0.45,0.5,,0.0,0.0,0,0.0,0
0.4,0.45,,0.0,0.0,0,0.0,0
0.35,0.4,,0.0,0.0,0,0.0,0
0.3,0.35,,0.0,0.0,0,0.0,0
0.25,0.3,,0.0,0.0,0,0.0,0
0.2,0.25,,0.0,0.0,0,0.0,0
0.15,0.2,,0.0,0.0,0,0.0,0
0.1,0.15,,0.0,0.0,0,0.0,0
0.05,0.1,,0.0,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
